attribute,group,n,prevalence,mean_predicted_risk,recall,precision,specificity,brier
race,AfricanAmerican,618,0.11650485436893204,0.11580817704019339,0.6527777777777778,0.15666666666666668,0.5366300366300366,0.09833019634175429
race,Caucasian,2195,0.10842824601366742,0.10639782710197056,0.634453781512605,0.14703018500486856,0.5523760858456822,0.0940755213877416
race,Hispanic,69,0.13043478260869565,0.1086862368166531,0.7777777777777778,0.23333333333333334,0.6166666666666667,0.10883765288673494
race,Missing,73,0.0821917808219178,0.09835536271187172,0.3333333333333333,0.07407407407407407,0.6268656716417911,0.07680520056846478
gender,Female,1639,0.11409395973154363,0.10667426808076907,0.6203208556149733,0.1457286432160804,0.5316804407713499,0.09849198954033471
gender,Male,1367,0.10460863204096561,0.10966081704982762,0.6433566433566433,0.1513157894736842,0.5784313725490197,0.09034759559455093
age,[30-40),97,0.1134020618556701,0.09645323929246238,0.5454545454545454,0.1935483870967742,0.7093023255813954,0.08862397982045524
age,[40-50),271,0.08118081180811808,0.0887562693818035,0.5,0.13924050632911392,0.7269076305220884,0.07388371952670418
age,[50-60),535,0.08598130841121496,0.10977819628301691,0.6956521739130435,0.1509433962264151,0.6319018404907976,0.07455113356569526
age,[60-70),662,0.13897280966767372,0.10723731449148083,0.5434782608695652,0.20080321285140562,0.6508771929824562,0.11716932847095657
age,[70-80),788,0.09263959390862944,0.10767775933919757,0.3972602739726027,0.10175438596491228,0.641958041958042,0.08401722397174309
age,[80-90),520,0.14423076923076922,0.1214249045553288,0.96,0.1568627450980392,0.1303370786516854,0.1201189191072088
age,[90-100),77,0.09090909090909091,0.11743226750841904,1.0,0.09090909090909091,0.0,0.08354068967218145
