feature,importance
admission_urgency_infrequent_sklearn,0.6689771724711459
admission_source_group_infrequent_sklearn,0.3858110502468367
number_inpatient,0.16642038988444205
admission_urgency_Emergency,0.14680884110907533
admission_urgency_Unavailable,0.14437625303330026
admission_urgency_Urgent,0.13223666730286865
age_midpoint,0.12882194347081286
acute_prior_visits,0.12133354407905185
frequent_utilizer_No,0.12101312668502394
admission_source_group_Referral,0.11689746936487949
inpatient_share,0.09894577539787058
admission_urgency_Elective,0.07962560246911093
admission_source_group_Emergency room,0.06722562479979112
emergency_share,0.054685689892038716
total_prior_visits,0.05412647368949473
number_outpatient,0.05044690259602643
frequent_utilizer_Yes,0.044916681936160004
admission_source_group_Transfer,0.032530375880776
number_emergency,0.021356879014216196
admission_source_group_Unavailable,0.0032277716290965855
